,variable,mean_on_jump_up,mean_elsewhere,diff,n_jump_up,corr_with_dJ
0,dskew_market,-0.12852795351240795,0.002477847076879165,-0.13100580058928712,27,-0.3754144565418262
1,skew_market,-0.4781434883978118,-0.3352432246489916,-0.1429002637488202,27,-0.01876467965105155
2,dD_odd,0.00829528062897928,-0.0001450012448152048,0.008440281873794486,27,0.24870660887250035
3,d_odd,0.03088390569230859,0.01833303857133416,0.012550867120974429,27,0.07743157563633915
4,dtail_dep,0.03184401332549484,-0.00038510481548456284,0.0322291181409794,27,0.3298662613673616
