,target,extra_regressor,full_sample_r2,extra_coef,extra_pvalue,oos_mse,oos_mae,n_oos,dm_tstat,dm_pvalue,oos_mse_vs_vol_only_pct
0,future_rv,none,0.09364428697232174,,,0.056790029832101505,0.17927530719613088,45,,,0.0
1,future_rv,J,0.1360362422541872,0.2007145228574705,0.029541813351062447,0.06109053234914514,0.193658543142233,45,-1.809224142619308,0.07041618836759776,7.57263648171691
2,future_rv,d_total,0.1104183550438057,-0.28998433901215714,0.19138858418290727,0.05711799086163791,0.18022966729577472,45,-0.3916975639595952,0.6952816901827561,0.5774975475554722
3,future_rv,h_dep,0.11722473646763953,-0.18202299243346745,0.04595812377074833,0.07928326496418214,0.22557912971254546,45,-1.3400348549012913,0.18023401351272095,39.60771846498654
4,future_rv,crisis,0.10187443207922697,0.015132001934844125,0.012430718470612133,0.056455264977958663,0.1784724712821311,45,1.6186961969939453,0.10551264554391399,-0.5894782149834521
5,future_rv,unhealed,0.11098534236733959,0.13426208953361352,0.15875446926764247,0.06436538102728323,0.19560890316441054,44,-4.485191600399065,7.284844322337285e-06,13.339227356594252
6,future_drawdown,none,0.04001644168796459,,,0.0005473627056522544,0.017947612041248603,45,,,0.0
7,future_drawdown,J,0.04032074276032849,0.0019503373715431573,0.8494412831470488,0.0006200888022962402,0.01954834912263639,45,-4.276685601008602,1.896964098729298e-05,13.286637159052162
8,future_drawdown,d_total,0.05712199691461084,-0.03358496183336791,0.2025945500791555,0.0005450751113876009,0.017939826530091334,45,0.3144422302861578,0.7531851863104276,-0.41793023913231364
9,future_drawdown,h_dep,0.04032006662164889,0.002368862509182328,0.8283115091898957,0.0006895286533247565,0.02084936364086035,45,-1.3248535024725983,0.1852197453954212,25.972896254064782
10,future_drawdown,crisis,0.04027226816358598,0.00030597526100253295,0.44111360416085355,0.0005463410708535632,0.01791829289848724,45,2.027077465005994,0.04265449108537544,-0.18664676788195944
11,future_drawdown,unhealed,0.04826631501124845,0.010334690673659459,0.28739276346730236,0.0006668789876778957,0.020041076613475654,44,-5.9930807300039675,2.059025696167118e-09,21.83493336164033
12,future_worst_loss,none,0.02762177987386749,,,6.239849318215505e-05,0.006226321480511177,45,,,0.0
13,future_worst_loss,J,0.05827119436175343,0.006315375961216653,0.12452635539472953,7.191440107054374e-05,0.0067955914954181025,45,-2.279556041775671,0.022634032600742125,15.250220643324909
14,future_worst_loss,d_total,0.03132435206011697,-0.005041481244683265,0.6176432824961059,6.578273004998912e-05,0.006469979688250818,45,-2.126805304710046,0.033436263371528226,5.423587486247028
15,future_worst_loss,h_dep,0.03550345317518777,-0.0038941302181516747,0.3137510937173271,8.712354089780684e-05,0.0075306846089244475,45,-1.3612761213248854,0.17342644616960667,39.624430743021136
16,future_worst_loss,crisis,0.03235995553903237,0.00042486334716931504,0.03321210371515179,6.201001159652547e-05,0.006200854474860267,45,2.01442543400493,0.04396488626847085,-0.6225816775663473
17,future_worst_loss,unhealed,0.037955767687544384,0.003855947855586582,0.251375071225731,7.10174722348377e-05,0.006730829029243677,44,-3.0222577117799214,0.0025089684476270802,13.812799978233347
