,regime,n,corr_dep_shape,corr_dep_tail,corr_dep_skewchan,share_var_dJ_dependence,share_var_dJ_shape,corr_taildep_J
0,all,8060,0.3370744179288381,0.33721548508542615,0.05637457820825712,0.3963350310703824,0.6036649689296177,0.3531613771253528
1,calm,7253,0.04446381251686032,0.026093789289509547,0.15417522022211436,0.3686957765250377,0.6313042234749625,0.29007706603496186
2,stress,807,0.6618264214675221,0.6761539899590338,-0.005209538436656374,0.4124697136822745,0.5875302863177257,0.520204459174781
