statistic,observed,null_mean,null_sd,null_q05,null_q95,p_greater,p_less,n_rep
n_jump_up,158.0,129.5,10.159258157748994,116.95,148.05,0.0,1.0,20
n_jump_down,9.0,4.15,2.2542357790099112,0.0,7.100000000000001,0.05,1.0,20
jump_ratio_up_down,17.555555555555557,inf,,18.082539682539682,,0.95,0.05,20
mean_size_up,0.6216475618603958,0.9103102125993017,0.13349355825795936,0.7275210983523485,1.0603503223179298,0.95,0.05,20
max_size_up,3.2094760188885463,5.372608444382439,1.7826846847034363,3.5307225240229547,8.73650996404324,0.95,0.05,20
skew_of_changes,12.259691221942399,13.804320571618934,3.022009208702761,10.647541461624755,18.828337725128808,0.6,0.4,20
share_of_variance_up,0.837603535156155,0.8280720851189741,0.0345865484761542,0.7688961087167404,0.8734461457175912,0.35,0.65,20
half_life_days,120.11933087886054,161.6351937397913,26.988704303474172,121.60202700114654,200.3869908814899,1.0,0.0,20
kappa,0.005770488192770397,0.004390636260735612,0.0006679012803930859,0.0034665118652547765,0.005700154387177454,0.0,1.0,20
sd_J,2.0304570162718116,2.170804634526388,0.42522167752842666,1.445317246441066,2.7759552538963783,0.7,0.3,20
range_J,18.952804643198572,14.230583551870131,2.7364019172256784,9.991464230112598,17.866679544281165,0.0,1.0,20
H1_J_stress_minus_calm,2.8894891147893214,2.214608631245883,0.5379787865551431,1.5099849682550686,3.0219953857893507,0.15,0.85,20
H1_hdep_stress_minus_calm,-1.7201334498120349,-0.6356948575088837,0.23712698633279936,-1.1444765919704212,-0.37024219776817385,1.0,0.0,20
H1_D_stress_minus_calm,0.4812893860847567,0.7404635158851913,0.2861996202212633,0.29772678201596486,1.132789543804288,0.85,0.15,20
H2_corr_dhvol_dhdep_all,0.09777102907372583,0.1621904669651152,0.28504734742717225,-0.22842597295553121,0.5656626813510839,0.6,0.4,20
H2_corr_dhvol_dhdep_stress,-0.4014166278073175,-0.3375270271446247,0.3509687351042204,-0.6615853063495151,0.3733015396869884,0.4,0.6,20
H2_beta_all,-0.060732875541906366,-0.08183336019822805,0.1426509469300213,-0.26759526911198367,0.11511363092964529,0.4,0.6,20
H2_beta_stress,0.19314865974923712,0.16163738823096468,0.18575083197628492,-0.2327837059604288,0.31754607255324974,0.6,0.4,20
H5_dskew_on_jump_minus_else,-0.05296863157983805,-0.0010931394500919382,0.04659233505475927,-0.050585181813193714,0.08058311258252657,0.95,0.05,20
H5_corr_dJ_dskew,-0.243271247569106,-0.013200698617295923,0.18854679937701915,-0.23928227052367287,0.2929758882444087,0.95,0.05,20
H6_corr_dep_shape_stress,0.6618264214675221,0.7570532509401623,0.06740439872473339,0.6333549770371851,0.8253018599253484,0.9,0.1,20
H6_corr_dep_shape_calm,0.04446381251686032,0.08962172227725436,0.06582863620015804,-0.01086422296603532,0.20356133565335321,0.7,0.3,20
H6_coupling_gap,0.6173626089506619,0.667431528662908,0.07697585600127604,0.5377740257040161,0.754730764611117,0.75,0.25,20
corr_J_logvol,0.46125486573338814,0.264796684138674,0.05660261927613458,0.17881513782479813,0.333262339860248,0.0,1.0,20
