,regime,pair,corr,sd_sum,sd_benchmark,var_reduction_pct,n
0,all,dh_vol vs dh_dep,-0.22902820267589372,0.023824101146546678,0.026251280533499663,17.637017963164357,1607
1,all,dh_cov vs -dD,-0.3920077645110178,0.022399431003424383,0.02761375027768521,34.20041011648407,1607
2,all,levels,,0.023824101146546626,0.022399431003424418,,1608
3,calm,dh_vol vs dh_dep,-0.12685652181523382,0.023927396655617276,0.025178898480547395,9.6938256262884,1446
4,calm,dh_cov vs -dD,-0.3759475544695151,0.02222041145910938,0.026113759089703172,27.59552536250399,1446
5,calm,levels,,0.02392739665561722,0.022220411459109402,,1447
6,stress,dh_vol vs dh_dep,-0.6695993997488414,0.021026194676863577,0.03149438459720074,55.42871972579613,161
7,stress,dh_cov vs -dD,-0.6742081578260383,0.022934617815022675,0.037502442768359324,62.60066320696463,161
8,stress,levels,,0.0210261946768634,0.022934617815022807,,161
