vol_multiplier,target_correlation,sigma_move,stressed_mean,stressed_vol_daily,stressed_vol_ann,stressed_VaR99,stressed_ES99,price_mean_leg_nats,price_vol_leg_nats,price_correlation_leg_nats,entropy_price_nats,implied_return_period_years
1.5,0.7,-2.0,-0.025131037357181574,0.02484174477030295,0.3943504727709658,0.08292157749104101,0.09133960877719405,2.0000000000000013,4.39069783783674,2.426090570178644,6.799341202464165,10.63888888888889
2.0,0.9,-3.0,-0.0377917949698997,0.037221769681414954,0.5908772756084871,0.12438257973629721,0.1369957848312432,4.499999999999999,16.137056388801113,8.102445719434911,9.969722637149644,31.916666666666664
3.0,0.95,-4.0,-0.05045255258261782,0.05726686961499183,0.9090833721865776,0.1836752129644281,0.2030810278351832,8.000000000000004,58.02775422663785,13.501107504956934,20.190845690188798,31.916666666666664
