,regime,pair,corr,sd_sum,sd_benchmark,var_reduction_pct,n
0,all,dh_vol vs dh_dep,0.09777102907372583,0.11818524286902903,0.11332333455542562,-8.7646617550869,8060
1,all,dh_cov vs -dD,-0.4670862068272116,0.11102731350611257,0.15020829375838654,45.36488808074651,8060
2,all,levels,,0.11818524286902912,0.11102731350611265,,8061
3,calm,dh_vol vs dh_dep,0.27586190783325004,0.11364862162107452,0.10137531820745826,-25.67933807561207,7253
4,calm,dh_cov vs -dD,-0.4095919815421049,0.10641789974082375,0.1337615013418183,36.705336167071124,7253
5,calm,levels,,0.11364862162107452,0.10641789974082386,,7254
6,stress,dh_vol vs dh_dep,-0.4014166278073175,0.1477812847883434,0.17838339383814125,31.367466430695366,807
7,stress,dh_cov vs -dD,-0.7181005553102897,0.14120471431381054,0.2509937057730754,68.3500716253721,807
8,stress,levels,,0.14778128478834415,0.14120471431381051,,807
