return_period_years,exceedance_prob_per_block,eta_nats,n_blocks,extrapolated,eta_per_asset
1,0.08333333333333333,1.0390667518514392,383,False,0.05195333759257196
2,0.041666666666666664,1.6322499287677577,383,False,0.08161249643838789
5,0.016666666666666666,2.3421827329787255,383,False,0.11710913664893627
10,0.008333333333333333,3.8825110063586803,383,False,0.19412555031793402
20,0.004166666666666667,7.53831391982573,383,False,0.3769156959912865
50,0.0016666666666666668,13.159200749495142,383,True,0.6579600374747571
