,target,extra_regressor,full_sample_r2,extra_coef,extra_pvalue,oos_mse,oos_mae,n_oos,dm_tstat,dm_pvalue,oos_mse_vs_vol_only_pct
0,future_rv,none,0.13598313926490613,,,0.2063051526678161,0.2603896016925864,311,,,0.0
1,future_rv,J,0.21900820788985875,0.06310274447789546,6.438214874081442e-05,0.19976505134799735,0.28315011511035226,311,0.29411479326330436,0.7686701871744875,-3.1701105063281387
2,future_rv,d_total,0.14361788957998012,0.04215973911304846,0.26101824313599487,0.20913017800169967,0.27038139884545226,311,-1.022398315070057,0.3065924176740019,1.369343081038954
3,future_rv,h_dep,0.16723017705851095,-0.043289582816489286,0.00022493780330334393,0.2168686999969073,0.2865682163331928,311,-0.5754259650538799,0.5650032478907415,5.120350700159282
4,future_rv,crisis,0.16513571445327546,0.03930549356595474,0.005034398784375194,0.2006602652763247,0.2587562913485303,311,1.0192429923271413,0.30808762076996166,-2.736183424647942
5,future_rv,unhealed,0.18052800041340367,0.6770615593694989,5.844378112226682e-06,0.19940922453485646,0.25355537935627837,310,1.2108770778254014,0.22594251887895056,-3.3425864762879565
6,future_drawdown,none,0.05056340838923867,,,0.0017800574835335162,0.025485216019831978,311,,,0.0
7,future_drawdown,J,0.0777018421965131,0.0031578916961331914,0.004976180031325426,0.0017862462986946955,0.027748260367856215,311,-0.057775979075593106,0.9539270721302366,0.34767501715136095
8,future_drawdown,d_total,0.0512914589427268,0.0011395738589930543,0.6068109384895214,0.0017943612561585076,0.025878252146372918,311,-1.2964739831614955,0.19481223774532208,0.8035567815819933
9,future_drawdown,h_dep,0.0643916458495073,-0.0025207141721987833,0.008836823107371578,0.0018436477847198168,0.027708378410356147,311,-0.6102898903852829,0.5416697926439976,3.5723734640338733
10,future_drawdown,crisis,0.061736070626634554,0.002129876106587332,0.03225931999994009,0.001762211186819932,0.02540484240464573,311,1.042869580510054,0.2970086999571456,-1.0025685618960112
11,future_drawdown,unhealed,0.07209999682788637,0.03950913994392788,0.0015244346167871629,0.0017670460811797378,0.025255840430165658,310,0.6469527720822544,0.5176625099752098,-0.7309540548066984
12,future_worst_loss,none,0.08570079404652986,,,0.0002065582794292497,0.008705768270309533,311,,,0.0
13,future_worst_loss,J,0.13943320185788366,0.0015825093090628948,0.00016901452207074085,0.00020485588199920508,0.009289514195761284,311,0.11021414582703114,0.9122395438721529,-0.8241729330572434
14,future_worst_loss,d_total,0.09245783328863466,0.001236412001240448,0.17037009120266455,0.00020817349749606713,0.008907068131775891,311,-0.7452615389491516,0.45611362712675274,0.7819672352425311
15,future_worst_loss,h_dep,0.11053497717944738,-0.0012030631090221204,0.0006127813739802403,0.0002123928974009763,0.009374864519366576,311,-0.45858723147585306,0.6465306075528418,2.8246836620872795
16,future_worst_loss,crisis,0.10484749315213737,0.000992993130541621,0.01027911206849319,0.0002051046069558988,0.008678466557083013,311,1.1208884059315922,0.26233536663330703,-0.7037589959442037
17,future_worst_loss,unhealed,0.11481852778682422,0.016424689833585727,8.679330739783298e-05,0.0002029548823284243,0.008545226996771146,310,1.091943692714505,0.2748578513240014,-1.7444941499232591
