,regime,n,corr_dep_shape,corr_dep_tail,corr_dep_skewchan,share_var_dJ_dependence,share_var_dJ_shape,corr_taildep_J
0,all,1607,0.23303307051542635,0.2234326715839364,0.08490400390033537,0.5832061225773209,0.4167938774226789,0.3298662613673616
1,calm,1446,0.04868313669052775,0.02684539281666875,0.07774779729831259,0.6752857391024184,0.32471426089758165,0.3643377838009097
2,stress,161,0.5448053468295596,0.5531192631790254,0.10902850332342777,0.4706882949540201,0.5293117050459796,0.31854261727763056
