return_period_years,eta_nats,sigma_move,vol_multiplier,objective,base_mean,base_vol_daily,stressed_mean,stressed_vol_daily,base_vol_ann,stressed_vol_ann,base_VaR99,stressed_VaR99,base_ES99,stressed_ES99,implied_mean_corr_if_all_dependence,feasible_as_correlation_only,base_mean_corr,return_period_check
0,0.0,0.0,1.0,es,0.0001904778682546652,0.01266075761271812,0.0001904778682546652,0.01266075761271812,0.20098329631751977,0.20098329631751977,0.029262848687838523,0.029262848687838523,0.033553153361513086,0.033553153361513086,0.38380428907210096,True,0.3831724121371282,0.08333333333333333
1,1.0390667518514392,-0.582042342794808,2.0411801825925573,es,0.0001904778682546652,0.01266075761271812,-0.00717861915420899,0.02584288753568808,0.20098329631751977,0.41024312147544906,0.029262848687838523,0.0672981656319335,0.033553153361513086,0.07605545050912224,1.791876351077094,False,0.3831724121371282,0.9973958333333333
2,1.6322499287677577,-0.7150636566738559,2.334208559281111,es,0.0001904778682546652,0.01266075761271812,-0.00886276976655691,0.02955284878659012,0.20098329631751977,0.46913693053688643,0.029262848687838523,0.07761297671309127,0.033553153361513086,0.08762744260430619,2.3620185162478653,False,0.3831724121371282,1.9947916666666665
5,2.3421827329787255,-0.8432102111551102,2.627871898495055,es,0.0001904778682546652,0.01266075761271812,-0.010485202231749048,0.033270849144119284,0.20098329631751977,0.5281583564597149,0.029262848687838523,0.08788477140570447,0.033553153361513086,0.09915914249363585,3.0100116009153313,False,0.3831724121371282,4.559523809523809
10,3.8825110063586803,-1.063274928389617,3.1511953534589043,es,0.0001904778682546652,0.01266075761271812,-0.013271388275766492,0.03989652056046679,0.20098329631751977,0.6333376294786225,0.029262848687838523,0.1060845740632351,0.033553153361513086,0.11960416221584139,4.354895470870556,False,0.3831724121371282,7.979166666666666
20,7.53831391982573,-1.4466138028858662,4.09946967036683,es,0.0001904778682546652,0.01266075761271812,-0.018124748849295675,0.051902391837203875,0.20098329631751977,0.8239249275040216,0.029262848687838523,0.1388677677574096,0.033553153361513086,0.15645574164377152,7.41241096270075,False,0.3831724121371282,15.958333333333332
50,13.159200749495142,-1.8804471603777724,5.203956013691961,es,0.0001904778682546652,0.01266075761271812,-0.02361740783281239,0.06588602571660074,0.20098329631751977,1.0459082335231904,0.029262848687838523,0.17689122368762666,0.033553153361513086,0.19921778049476613,11.981820455613635,False,0.3831724121371282,31.916666666666664
