,channel,stress_mean,calm_mean,diff,p_value,n_stress,n_calm
0,h_vol,-18.250720473665936,-18.925410318783644,0.6746898451177081,0.0445,161,1447
1,h_dep,-1.1467726491402201,-0.9111444625327665,-0.23562818660745366,0.0405,161,1447
2,h_cov,-19.397493122806154,-19.83655478131641,0.4390616585102549,0.1085,161,1447
3,d_total,0.15696397481676433,0.11181106528248956,0.04515290953427477,0.243,161,1447
4,d_odd,0.01766863585166371,0.018641153464308075,-0.0009725176126443649,0.8135,161,1447
5,d_even,0.1392953389651006,0.09316991181818146,0.04612542714691914,0.208,161,1447
6,h_tot,-19.554457097622922,-19.9483658465989,0.39390874897597783,0.1665,161,1447
7,J,1.2327088229577707,0.8908294132579659,0.3418794096998048,0.0005,161,1447
8,skew_market,-0.2282552648939786,-0.3498136245396448,0.12155835964566622,0.2915,161,1447
9,exkurt_market,1.2330360648865237,1.379152051564597,-0.14611598667807324,0.86,161,1447
10,mean_corr,0.6626337215471213,0.5903133659120311,0.0723203556350902,0.0395,161,1447
11,n_eff_modes,2.3018808962095085,2.561008443328411,-0.2591275471189025,0.0435,161,1447
12,tail_dep,0.5800387787965429,0.4596812233301521,0.12035755546639076,0.005,161,1447
